epoch,train_loss,valid_loss,time
0,0.04399513453245163,0.04062527418136597,00:08
1,0.04071757569909096,0.03757622838020325,00:09
2,0.0410066694021225,0.0350605733692646,00:08
3,0.04022964462637901,0.0332748144865036,00:09
4,0.03957992419600487,0.03463883325457573,00:09
5,0.04001707211136818,0.03126782551407814,00:08
6,0.038423094898462296,0.025382762774825096,00:08
7,0.03704466670751572,0.02431274950504303,00:08
8,0.03548317775130272,0.023091556504368782,00:08
9,0.034170929342508316,0.02351437136530876,00:08
10,0.032896529883146286,0.02667134441435337,00:09
11,0.031597208231687546,0.024280520156025887,00:08
12,0.02981010265648365,0.024261044338345528,00:08
13,0.028801538050174713,0.02447584830224514,00:09
14,0.0274004265666008,0.023673560470342636,00:08
15,0.02672264166176319,0.023597097024321556,00:08
16,0.025417106226086617,0.023236745968461037,00:08
17,0.02409830316901207,0.02305726334452629,00:08
18,0.02335788868367672,0.02283092960715294,00:08
19,0.022756006568670273,0.023615581914782524,00:08
