epoch,train_loss,valid_loss,mae,time
0,0.21682168543338776,0.04084250330924988,0.14790146052837372,00:09
1,0.18924587965011597,0.04082270711660385,0.1510620415210724,00:09
2,0.17033898830413818,0.036645758897066116,0.14386418461799622,00:08
3,0.16207255423069,0.05300334468483925,0.1689518392086029,00:08
4,0.15512272715568542,0.03871149197220802,0.1417391151189804,00:08
5,0.15616121888160706,0.036880012601614,0.13752727210521698,00:08
6,0.1508760303258896,0.051558587700128555,0.1743709146976471,00:08
7,0.15200652182102203,0.03662259131669998,0.14020413160324097,00:09
8,0.14641791582107544,0.04301188513636589,0.1585042029619217,00:08
9,0.14007896184921265,0.03215962275862694,0.12876179814338684,00:08
10,0.1336643248796463,0.035379547625780106,0.13644029200077057,00:08
11,0.1304653435945511,0.035950012505054474,0.131446972489357,00:08
12,0.1259411722421646,0.03566718101501465,0.1360447108745575,00:08
13,0.1244991347193718,0.02935134992003441,0.12175117433071136,00:09
14,0.11668749898672104,0.029764490202069283,0.12324477732181549,00:08
15,0.11031033843755722,0.029614366590976715,0.12484926730394363,00:08
16,0.10547763109207153,0.03145487606525421,0.1284341663122177,00:08
17,0.10110676288604736,0.031644307076931,0.12847870588302612,00:08
18,0.09791263192892075,0.031218765303492546,0.12670882046222687,00:08
19,0.09808772057294846,0.030982598662376404,0.12696272134780884,00:09
